site,plot,comments,1_flowerstotal,1_survival,1_comments,2_flowerstotal,2_survival,2_comments,3_flowerstotal,3_survival,3_comments,4_flowerstotal,4_surviva,4_comments,5_flowerstotal,5_survival,5_comments
1,1,,146,1,,208,1,,24,1,,,nan,no_info,,nan,
1,2,,235,1,,194,1,,0,0,,,nan,no_info,,nan,
1,3,,229,1,,117,1,,0,0,,,nan,no_info,,nan,
1,4,,233,1,,235,1,,20,1,,,nan,no_info,,nan,
1,5,,226,1,,204,1,,72,1,,,nan,no_info,,nan,
1,6,,203,1,,276,1,,44,1,,,nan,no_info,,nan,
1,7,,254,1,,131,1,,115,1,,,nan,no_info,,nan,
1,8,,255,1,,275,1,,8,1,,,nan,no_info,,nan,
1,9,,215,1,,68,1,,21,1,,,nan,no_info,,nan,
1,10,,263,1,,133,1,,4,1,,,nan,no_info,,nan,
1,11,,224,1,,137,1,,264,1,,,nan,no_info,,nan,
1,12,,243,1,,67,1,,48,1,,,nan,no_info,,nan,
2,1,,42,1,,0,0,,0,0,,,nan,no_info,,nan,
2,2,,,-1,,,-1,,,-1,,,-1,,,-1,
2,3,,,-1,,,-1,,,-1,,,-1,,,-1,
2,4,,0,0,,0,0,,0,0,,,nan,no_info,,nan,
2,5,,162,1,,15,1,,0,0,,,nan,no_info,,nan,
2,6,,67,1,,3,1,,30,1,,,nan,no_info,,nan,
2,7,,39,1,,12,1,,10,1,,,nan,no_info,,nan,
2,8,,109,1,,0,0,,0,0,,,nan,no_info,,nan,
2,9,,85,1,,0,0,,0,0,,,nan,no_info,,nan,
2,10,,,-1,,,-1,,,-1,,,-1,,,-1,
2,11,,52,1,,0,0,,0,0,,,nan,no_info,,nan,
2,12,,43,1,,0,0,,0,0,,,nan,no_info,,nan,
2,13,,126,1,,0,0,,0,0,,,nan,no_info,,nan,
2,14,,199,1,,0,0,,0,0,,,nan,no_info,,nan,
2,15,,2,1,,0,0,,0,0,,,nan,no_info,,nan,
2,16,,66,1,,0,0,,0,0,,,nan,no_info,,nan,
2,18,,76,1,,0,0,,0,0,,,nan,no_info,,nan,
3,no_existence,,,,,,,,,,,,,,,,
4,1,,200,1,,80,1,,40,1,,2,1,,,0,based on diary there are plants we should request flower counts
4,2,,200,1,,60,1,,50,1,,4,1,,,0,based on diary there are plants we should request flower counts
4,3,,200,1,,95,1,,30,1,,13,1,,,0,based on diary there are plants we should request flower counts
4,4,,200,1,,0,0,,0,0,,5,1,,,0,based on diary there are plants we should request flower counts
4,5,,200,1,,75,1,,80,1,,100,1,,,0,based on diary there are plants we should request flower counts
4,6,,200,1,,75,1,,43,1,,41,1,,,0,based on diary there are plants we should request flower counts
4,7,,200,1,,57,1,,17,1,,9,1,,,0,based on diary there are plants we should request flower counts
4,8,,200,1,,48,1,,24,1,,29,1,,,0,based on diary there are plants we should request flower counts
4,9,,200,1,,60,1,,17,1,,24,1,,,0,based on diary there are plants we should request flower counts
4,10,,200,1,,63,1,,20,1,,44,1,,,0,based on diary there are plants we should request flower counts
4,11,,200,1,,58,1,,11,1,,48,1,,,0,based on diary there are plants we should request flower counts
4,12,,200,1,,52,1,,10,1,,0,0,,,0,based on diary there are plants we should request flower counts
5,1,,202,1,,100,1,,315,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,2,,202,1,,100,1,,270,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,3,,202,1,,30,1,,172,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,4,,202,1,,26,1,,314,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,5,,202,1,,32,1,,308,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,6,,202,1,,85,1,,318,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,7,,202,1,,100,1,,122,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,8,,202,1,,35,1,,315,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,9,,202,1,,45,1,,315,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,10,,202,1,,45,1,,315,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,11,,202,1,,90,1,,246,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
5,12,,202,1,,100,1,,189,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
6,1,,177,1,,,-1,soil_out,,-1,lost_weeds,,-1,,,-1,
6,2,,182,1,,60,1,,,-1,lost_weeds,,-1,,,-1,
6,3,,203,1,,60,1,,,-1,lost_weeds,,-1,,,-1,
6,4,,176,1,,,-1,soil_out,,-1,lost_weeds,,-1,,,-1,
6,5,,191,1,,62,1,,,-1,lost_weeds,,-1,,,-1,
6,6,,199,1,,94,1,,,-1,lost_weeds,,-1,,,-1,
6,7,,235,1,,37,1,,,-1,lost_weeds,,-1,,,-1,
6,8,,202,1,,33,1,,,-1,lost_weeds,,-1,,,-1,
6,9,,230,1,,56,1,,,-1,lost_weeds,,-1,,,-1,
6,10,,216,1,,56,1,,,-1,lost_weeds,,-1,,,-1,
6,11,,219,1,,34,1,,,-1,lost_weeds,,-1,,,-1,
6,12,,229,1,,57,1,,,-1,lost_weeds,,-1,,,-1,
7,not_successful,"Some flowers were seen in March, but no more info",,,,,,,,,,,,,,,
8,no_existence,,,,,,,,,,,,,,,,
9,1,,140,1,,0,0,,1,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,2,,150,1,,1,1,,33,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,3,,99,1,,3,1,,52,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,4,,181,1,,0,0,,36,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,5,,103,1,,0,0,,5,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,6,,132,1,,3,1,,1,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,7,,118,1,,1,1,,41,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,8,,75,1,,0,0,,1,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,9,,119,1,,1,1,,3,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,10,,169,1,,0,0,,21,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,11,,104,1,,1,1,,3,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
9,12,,88,1,,4,1,,2,1,,,1,based on diary there are plants we should request flower counts,,1,based on diary there are plants we should request flower counts
10,1,,18,1,,1,1,,0,0,,,-1,site_destroyed,,-1,
10,2,,15,1,,2,1,,3,1,,,-1,site_destroyed,,-1,
10,3,,21,1,,1,1,,0,0,,,-1,site_destroyed,,-1,
10,4,,12,1,,0,0,,0,0,,,-1,site_destroyed,,-1,
10,5,,30,1,,5,1,,0,0,,,-1,site_destroyed,,-1,
10,6,,33,1,,0,0,,0,0,,,-1,site_destroyed,,-1,
10,7,,32,1,,0,0,,,-1,soil_out,,-1,site_destroyed,,-1,
10,8,,1,1,,4,1,,0,0,,,-1,site_destroyed,,-1,
10,9,,7,1,,7,1,,,-1,soil_out,,-1,site_destroyed,,-1,
10,10,,16,1,,0,0,,10,1,,,-1,site_destroyed,,-1,
10,11,,15,1,,0,0,,0,0,,,-1,site_destroyed,,-1,
10,12,,21,1,,0,0,,0,0,,,-1,site_destroyed,,-1,
11,1,,20,1,,3,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,61,1,,,nan,no_info,,nan,no_info
11,2,,17,1,,4,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,0,0,,,nan,no_info,,nan,no_info
11,3,,24,1,,3,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,5,1,,,nan,no_info,,nan,no_info
11,4,,13,1,,0,0,,0,0,,,nan,no_info,,nan,no_info
11,5,,27,1,,2,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,1,1,,,nan,no_info,,nan,no_info
11,6,,11,1,,9,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,2,1,,,nan,no_info,,nan,no_info
11,7,,17,1,,5,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,0,0,,,nan,no_info,,nan,no_info
11,8,,14,1,,0,0,,0,0,,,nan,no_info,,nan,no_info
11,9,,9,1,,0,0,,0,0,,,nan,no_info,,nan,no_info
11,10,,13,1,,0,0,,0,0,,,nan,no_info,,nan,no_info
11,11,,10,1,,0,0,,0,0,,,nan,no_info,,nan,no_info
11,12,,5,1,,3,1,unceratin info probably more flowers since they did only 1 sampling due to logistical issues,0,0,,,nan,no_info,,nan,no_info
12,1,,0,0,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,2,,3,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,3,,5,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,4,,13,1,,2,1,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,5,,15,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,6,,6,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,7,,4,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,8,,7,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,9,,12,1,,0,0,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,10,,35,1,,39,1,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,11,,49,1,,25,1,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
12,12,,64,1,,67,1,,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts,,nan,based on diary there are plants we should request flower counts
13,1,,8,1,,80,1,,17,1,,,-1,storm,,-1,
13,2,,10,1,,66,1,,59,1,,,-1,storm,,-1,
13,3,,10,1,,66,1,,14,1,,,-1,storm,,-1,
13,4,,5,1,,34,1,,2,1,,,-1,storm,,-1,
13,5,,2,1,,23,1,,1,1,,,-1,storm,,-1,
13,6,,6,1,,0,0,,0,0,,,-1,storm,,-1,
13,7,,2,1,,13,1,,0,0,,,-1,storm,,-1,
13,8,,2,1,,3,1,,8,1,,1,-1,storm,,-1,
13,9,,2,1,,91,1,,3,1,,,-1,storm,,-1,
13,10,,3,1,,45,1,,4,1,,,-1,storm,,-1,
13,11,,1,1,,5,1,,18,1,,,-1,storm,,-1,
13,12,,2,1,,14,1,,12,1,,,-1,storm,,-1,
14,no_existence,,,,,,,,,,,,,,,,
15,no_existence,,,,,,,,,,,,,,,,
16,no_existence,,,,,,,,,,,,,,,,
17,no_existence,,,,,,,,,,,,,,,,
18,no_existence,,,,,,,,,,,,,,,,
19,no_germination,,,,,,,,,,,,,,,,
20,no_germination,,,,,,,,,,,,,,,,
21,no_germination,,,,,,,,,,,,,,,,
22,no_existence,,,,,,,,,,,,,,,,
23,1,,160,1,,,nan,no_info,,nan,,,nan,,,nan,
23,2,,300,1,,,nan,no_info,,nan,,,nan,,,nan,
23,3,,209,1,,,nan,no_info,,nan,,,nan,,,nan,
23,4,,125,1,,,nan,no_info,,nan,,,nan,,,nan,
23,5,,183,1,,,nan,no_info,,nan,,,nan,,,nan,
23,6,,215,1,,,nan,no_info,,nan,,,nan,,,nan,
23,7,,216,1,,,nan,no_info,,nan,,,nan,,,nan,
23,8,,239,1,,,nan,no_info,,nan,,,nan,,,nan,
23,9,,215,1,,,nan,no_info,,nan,,,nan,,,nan,
23,10,,246,1,,,nan,no_info,,nan,,,nan,,,nan,
23,11,,261,1,,,nan,no_info,,nan,,,nan,,,nan,
23,12,,227,1,,,nan,no_info,,nan,,,nan,,,nan,
24,1,,30,1,,0,0,,,nan,no_info,,nan,,,nan,
24,2,,126,1,,0,0,,,nan,no_info,,nan,,,nan,
24,3,,113,1,,0,0,,,nan,no_info,,nan,,,nan,
24,4,,94,1,,0,0,,,nan,no_info,,nan,,,nan,
24,5,,23,1,,0,0,,,nan,no_info,,nan,,,nan,
24,6,,0,0,,1,1,,,nan,no_info,,nan,,,nan,
24,7,,47,1,,1,1,,,nan,no_info,,nan,,,nan,
24,8,,0,0,,0,0,,,nan,no_info,,nan,,,nan,
24,9,,48,1,,0,0,,,nan,no_info,,nan,,,nan,
24,10,,11,1,,7,1,,,nan,no_info,,nan,,,nan,
24,11,,96,1,,4,1,,,nan,no_info,,nan,,,nan,
24,12,,175,1,,1,1,,,nan,no_info,,nan,,,nan,
25,1,,51,1,,84,1,,,nan,no_info,,nan,,,nan,
25,2,,70,1,,39,1,,,nan,no_info,,nan,,,nan,
25,3,,130,1,,127,1,,,nan,no_info,,nan,,,nan,
25,4,,51,1,,51,1,,,nan,no_info,,nan,,,nan,
25,5,,43,1,,42,1,,,nan,no_info,,nan,,,nan,
25,6,,24,1,,49,1,,,nan,no_info,,nan,,,nan,
25,7,,80,1,,67,1,,,nan,no_info,,nan,,,nan,
25,8,,18,1,,24,1,,,nan,no_info,,nan,,,nan,
25,9,,145,1,,42,1,,,nan,no_info,,nan,,,nan,
25,10,,145,1,,55,1,,,nan,no_info,,nan,,,nan,
25,11,,79,1,,37,1,,,nan,no_info,,nan,,,nan,
25,12,,141,1,,28,1,,,nan,no_info,,nan,,,nan,
26,1,,22,1,,,nan,no_info,,nan,,,nan,,,nan,
26,2,,40,1,,,nan,no_info,,nan,,,nan,,,nan,
26,3,,43,1,,,nan,no_info,,nan,,,nan,,,nan,
26,4,,35,1,,,nan,no_info,,nan,,,nan,,,nan,
26,5,,3,1,,,nan,no_info,,nan,,,nan,,,nan,
26,6,,22,1,,,nan,no_info,,nan,,,nan,,,nan,
26,7,,13,1,,,nan,no_info,,nan,,,nan,,,nan,
26,8,,14,1,,,nan,no_info,,nan,,,nan,,,nan,
26,9,,20,1,,,nan,no_info,,nan,,,nan,,,nan,
26,10,,18,1,,,nan,no_info,,nan,,,nan,,,nan,
26,11,,19,1,,,nan,no_info,,nan,,,nan,,,nan,
