"ecotypeid","source","longitude","latitude","csnumber","name","country","weightmasterseed","estimatedseednumber","seedsperplot"
159,"1001G",3.93333,47.35,"CS77070","MAR2-3","France",0.3004,16638,17.33125
265,"1001G",-1.16667,44.65,"CS77198","PYL-6","France",0.325,18000,18.75
763,"1001G",74.3667,42.3,"CS76522","Kar-1","Kyrgyzstan",0.1827,10119,10.540625
765,"1001G",73.4,42.1833,"CS76607","Sus-1","Kyrgyzstan",0.2994,16582,17.27291667
766,"1001G",73.6333,42.5833,"CS76473","Dja-1","Kyrgyzstan",0.3004,16638,17.33125
768,"1001G",76.35,42.8,"CS76634","Zal-1","Kyrgyzstan",0.3099,17164,17.87916667
772,"1001G",72.4667,37.35,"CS76560","Neo-6","Tajikistan",0.3091,17120,17.83333333
5151,"1001G",-1.7,52.2,"CS78801","UKSE06-325","United_Kingdom",0.2959,16389,17.071875
5165,"1001G",0.4,51.3,"CS78802","UKSE06-362","United_Kingdom",0.3171,17563,18.29479167
5768,"1001G",-1.5,54.1,"CS78786","UKID63","United_Kingdom",0.3076,17037,17.746875
5772,"1001G",-2.3,54.1,"CS78787","Set-1","United_Kingdom",0.3059,16942,17.64791667
5784,"1001G",-5.2,56.4,"CS78790","Ty-1","United_Kingdom",0.3011,16677,17.371875
5811,"1001G",-3.1,52.9,"CS78778","UKID107","United_Kingdom",0.3194,17690,18.42708333
6013,"1001G",18.177,62.877,"CS76830","Eden-9","Sweden",0.2985,16533,17.221875
6025,"1001G",17.7339,62.6437,"CS76889","Gro-3","Sweden",0.2282,12639,13.165625
6040,"1001G",13.4,55.66,"CS76970","Kni-1","Sweden",0.3056,16926,17.63125
6073,"1001G",15.8155,56.1481,"CS77147","OMo1-7","Sweden",0.1625,9000,9.375
6074,"1001G",16.1308,56.4573,"CS77150","Or-1","Sweden",0.2099,11625,12.109375
6108,"1001G",13.1206,55.7989,"CS77300","T480","Sweden",0.3043,16854,17.55625
6150,"1001G",13.5319,55.9261,"CS77327","T980","Sweden",0.2899,16056,16.725
6177,"1001G",17.69,62.6322,"CS77338","TAL","Sweden",0.3388,18765,19.546875
6180,"1001G",17.6906,62.6322,"CS77339","TAL 07","Sweden",0.2993,16577,17.26770833
6184,"1001G",18.4522,62.8892,"CS77343","TBO","Sweden",0.3013,16688,17.38333333
6188,"1001G",14.1386,55.7683,"CS77345","TDr-1","Sweden",0.2983,16522,17.21041667
6195,"1001G",14.1342,55.7708,"CS77356","TDr-9","Sweden",0.31,17170,17.88541667
6209,"1001G",18.1842,62.8836,"CS77358","TEDEN","Sweden",0.3003,16632,17.325
6216,"1001G",18.3283,63.0167,"CS77362","TFA","Sweden",0.3043,16854,17.55625
6243,"1001G",13.90045,56.27373,"CS77381","Tottarp-2","Sweden",0.3053,16909,17.61354167
6244,"1001G",18.4728,62.9169,"CS77384","TRA 01","Sweden",0.3166,17535,18.265625
6898,"1001G",4.4,51.2167,"CS76435","An-1","Belgium",0.304,16837,17.53854167
6911,"1001G",-23.6167,15.1111,"CS76789","Cvi-0","Cabo_Verde",0.2999,16610,17.30208333
6915,"1001G",6.3,50.3,"CS76478","Ei-2","Germany",0.3037,16821,17.521875
6929,"1001G",68.49,38.48,"CS76532","Kondara","Tajikistan",0.3001,16621,17.31354167
6932,"1001G",10.8719,47.984,"CS77021","Ler-1","Germany",0.1915,10606,11.04791667
6938,"1001G",37.6322,55.7522,"CS76555","Ms-0","Russian_Federation",0.2984,16527,17.215625
6939,"regmap",22.46,32.34,NA,"Mt-0","Libya",0.3065,16976,17.68333333
6940,"1001G",8.3,50.3,"CS76557","Mz-0","Germany",0.3181,17618,18.35208333
6945,"1001G",4.45,52.24,"CS76562","Nok-3","Netherlands",0.3009,16666,17.36041667
6958,"1001G",3.3,46,"CS76582","Ra-0","France",0.303,16782,17.48125
6961,"1001G",-3.53333,38.3333,"CS76597","Se-0","Spain",0.3027,16765,17.46354167
6963,"1001G",68.48,38.35,"CS78917","Sorbo","Tajikistan",0.3031,16787,17.48645833
6979,"1001G",8.26,47.25,"CS76628","Wei-0","Switzerland",0.3018,16715,17.41145833
6987,"1001G",7.62551,48.0683,"CS76431","Ak-1","Germany",0.3034,16804,17.50416667
7000,"1001G",9.57073,50.9167,"CS76428","Aa-0","Germany",0.2086,11553,12.034375
7002,"1001G",6.1,51.3333,"CS76442","Baa-1","Netherlands",0.3011,16677,17.371875
7003,"1001G",7.5,47.5,"CS78888","Bs-1","Switzerland",0.3029,16776,17.475
7008,"1001G",5.675,52,"CS76447","Benk-1","Netherlands",0.3019,16721,17.41770833
7013,"1001G",13.287,52.4584,"CS76445","Bd-0","Germany",0.3016,16704,17.4
7025,"1001G",11.3396,44.5041,"CS76450","Bl-1","Italy",0.3065,16976,17.68333333
7028,"1001G",9.3166,49.5166,"CS76444","Bch-1","Germany",0.2962,16405,17.08854167
7031,"1001G",8.6667,50.0167,"CS76457","Bsch-0","Germany",0.3021,16732,17.42916667
7036,"1001G",9.5,50.5,"CS78889","Bu-0","Germany",0.305,16893,17.596875
7062,"1001G",8.26607,50.2981,"CS76459","Ca-0","Germany",0.3017,16710,17.40625
7063,"1001G",-13.4811,29.2144,"CS76740","Can-0","Spain",0.2978,16494,17.18125
7067,"1001G",15,37.3,"CS76786","Ct-1","Italy",0.2982,16516,17.20416667
7071,"1001G",1.33867,48.0717,"CS76463","Chat-1","France",0.3195,17696,18.43333333
7077,"1001G",-8.25,40.12,"CS76468","Co-1","Portugal",0.3015,16699,17.39479167
7092,"1001G",2.823,49.416,"CS76469","Com-1","France",0.309,17114,17.82708333
7103,"1001G",16.2667,49.4167,"CS76476","Dra-0","Czech_Republic",0.3017,16710,17.40625
7106,"1001G",13.7336,51.051,"CS78897","Dr-0","Germany",0.3138,17380,18.10416667
7125,"1001G",11.0087,49.5955,"CS78898","Er-0","Germany",0.3083,17075,17.78645833
7126,"1001G",24.5682,60.1997,"CS76484","Es-0","Finland",0.3204,17746,18.48541667
7127,"1001G",24.9871,58.6656,"CS76485","Est","Germany",0.2984,16527,17.215625
7143,"1001G",5.86667,51.0167,"CS76492","Gel-1","Netherlands",0.3164,17524,18.25416667
7164,"1001G",12.5686,55.675,"CS76915","Hau-0","Dernmark",0.2087,11559,12.040625
7165,"1001G",8.28844,51.3472,"CS76513","Hn-0","Germany",0.295,16339,17.01979167
7186,"1001G",23.8924,54.8969,"CS76969","Kn-0","Lithuania",0.3477,19258,20.06041667
7203,"1001G",11.5722,49.631,"CS76534","Krot-0","Germany",0.303,16782,17.48125
7209,"1001G",15.2333,52.7333,"CS76538","La-0","Poland",0.3033,16798,17.49791667
7217,"1001G",0.5,48,"CS76545","Lm-2","France",0.3011,16677,17.371875
7218,"1001G",4.49015,52.1611,"CS76540","Le-0","Netherlands",0.3067,16987,17.69479167
7244,"1001G",8.26664,50.001,"CS76552","Mnz-0","Germany",0.2996,16594,17.28541667
7255,"1001G",20.5,50.95,"CS76550","Mh-0","Poland",0.302,16726,17.42291667
7268,"1001G",10.981,52.6969,"CS76563","Np-0","Germany",0.301,16671,17.365625
7273,"1001G",13.2995,51.0581,"CS77128","No-0","Germany",0.3157,17485,18.21354167
7276,"1001G",8.5833,50.2,"CS76566","Ob-0","Germany",0.306,16948,17.65416667
7282,"1001G",8.01161,50.3827,"CS76568","Or-0","Germany",0.3059,16942,17.64791667
7287,"1001G",8.42255,53.3422,"CS76569","Ove-0","Germany",0.3031,16787,17.48645833
7288,"1001G",6.193019,60.385543,"CS77156","Oy-0","Norway",0.3082,17070,17.78125
7296,"1001G",29,59,"CS77170","Petergof","Russian_Federation",0.3075,17031,17.740625
7298,"1001G",10.51,47.04,"CS76572","Pi-0","Austria",0.3017,16710,17.40625
7316,"1001G",5.56667,51.9667,"CS78916","Rhen-1","Netherlands",0.3122,17291,18.01145833
7323,"1001G",38.28,49,"CS76594","Rubezhnoe-1","Ukraine",0.314,17391,18.115625
7333,"1001G",11.5614,46.5438,"CS76599","Sei-0","Italy",0.2643,14638,15.24791667
7346,"1001G",11.8558,52.6058,"CS77277","Ste-0","Germany",0.3212,17790,18.53125
7347,"1001G",36,52,"CS76605","Stw-0","Russian_Federation",0.3094,17136,17.85
7353,"1001G",4.3,52.08,"CS76611","Tha-1","Netherlands",0.3055,16920,17.625
7372,"1001G",9.9042,47.0748,"CS76616","Tscha-1","Austria",0.2961,16400,17.08333333
7378,"1001G",7.7667,48.0333,"CS76620","Uk-1","Germany",0.3023,16743,17.440625
7384,"1001G",5.55,52.0333,"CS76624","Ven-1","Netherlands",0.2999,16610,17.30208333
7394,"1001G",21,52.3,"CS76626","Wa-1","Poland",0.2997,16599,17.290625
7404,"1001G",10.0667,52.6,"CS76627","Wc-1","Germany",0.3123,17297,18.01770833
7411,"1001G",10.8134,47.9299,"CS76630","Wl-0","Germany",0.3026,16760,17.45833333
7521,"1001G",16.81,49.38,"CS77052","Lp2-6","Czech_Republic",0.3051,16898,17.60208333
8214,"1001G",2,49,"CS78901","Gy-0","France",0.3009,16666,17.36041667
8230,"1001G",16.5,56.68,"CS76657","Algutsrum","Sweden",0.3044,16859,17.56145833
8231,"1001G",16,56.3,"CS76726","Bro1-6","Sweden",0.2977,16488,17.175
8240,"1001G",13.196,55.705,"CS76987","Kulturen-1","Sweden",0.3031,16787,17.48645833
8247,"1001G",13.74,56.07,"CS77233","San-2","Sweden",0.3246,17978,18.72708333
8249,"1001G",15.8,57.7,"CS78845","Vimmerby","Sweden",0.3117,17264,17.98333333
8311,"1001G",11.5,47.5,"CS78903","In-0","Austria",0.3063,16965,17.671875
8312,"1001G",7.5,50.5,"CS78904","Is-0","Germany",0.2989,16555,17.24479167
8351,"1001G",18.37,60.25,"CS77154","Ost-0","Sweden",0.3049,16887,17.590625
8354,"1001G",56.3167,58,"CS76571","Per-1","Russian_Federation",0.3035,16810,17.51041667
8357,"1001G",2.25,41.5,"CS76573","Pla-0","Spain",0.3051,16898,17.60208333
8376,"1001G",18,62.69,"CS77234","Sanna-2","Sweden",0.3015,16699,17.39479167
8387,"1001G",18,59,"CS77270","St-0","Sweden",0.3218,17823,18.565625
9057,"1001G",13.9167,56.1,"CS78847","Vinslov","Sweden",0.2968,16438,17.12291667
9058,"1001G",16.6333,57.75,"CS78834","Vastervik","Sweden",0.3028,16771,17.46979167
9323,"1001G",18.336,62.8622,"CS76644","Adal 3","Sweden",0.2075,11493,11.971875
9371,"1001G",18.3175,63.016,"CS76852","FaL","Sweden",0.2905,16090,16.76041667
9394,"1001G",16.4063,56.5804,"CS76907","Hag-2","Sweden",0.2956,16372,17.05416667
9416,"1001G",18.3837,57.7215,"CS76986","Kru-3","Sweden",0.2929,16222,16.89791667
9427,"1001G",18.4055,62.8815,"CS77122","Nas","Sweden",0.3016,16704,17.4
9470,"1001G",14.8043,57.6511,"CS77399","Tur-4","Sweden",0.3009,16666,17.36041667
9481,"1001G",13.8484,55.4242,"CS78869","Yst-1","Sweden",0.2996,16594,17.28541667
9506,"1001G",-7.47,40.11,"CS76662","IP-Alo-0","Portugal",0.2989,16555,17.24479167
9507,"1001G",-7.5,38.45,"CS76775","IP-Coa-0","Portugal",0.3011,16677,17.371875
9510,"1001G",-7.59,38.75,"CS77208","IP-Rei-0","Portugal",0.3008,16660,17.35416667
9512,"1001G",-7.84,38.22,"CS78842","IP-Vid-1","Portugal",0.3004,16638,17.33125
9517,"1001G",-7.8,42.19,"CS76659","IP-All-0","Spain",0.3287,18205,18.96354167
9518,"1001G",-0.36,39.88,"CS76660","IP-Alm-0","Spain",0.305,16893,17.596875
9521,"1001G",2.13,41.43,"CS76689","IP-Bar-1","Spain",0.303,16782,17.48125
9522,"1001G",-5.27,36.52,"CS76695","IP-Bea-0","Spain",0.3009,16666,17.36041667
9523,"1001G",-2.66,38.37,"CS76700","IP-Ben-0","Spain",0.304,16837,17.53854167
9524,"1001G",-0.56,42.52,"CS78887","IP-Ber-0","Spain",0.3136,17369,18.09270833
9526,"1001G",2.39,41.54,"CS76738","IP-Cab-3","Spain",0.2994,16582,17.27291667
9527,"1001G",-5.74,40.37,"CS76739","IP-Cad-0","Spain",0.3021,16732,17.42916667
9528,"1001G",-1.37,40.94,"CS78890","IP-Cal-0","Spain",0.3021,16732,17.42916667
9529,"1001G",-3.36,36.97,"CS76741","IP-Cap-1","Spain",0.3049,16887,17.590625
9534,"1001G",-4.65,40.05,"CS76774","IP-Cmo-3","Spain",0.306,16948,17.65416667
9535,"1001G",3.19,42.31,"CS76776","IP-Coc-1","Spain",0.3052,16904,17.60833333
9537,"1001G",-6.66,38.07,"CS76787","IP-Cum-1","Spain",0.3015,16699,17.39479167
9539,"1001G",-6.67,40.29,"CS76793","IP-Deh-1","Spain",0.2992,16571,17.26145833
9542,"1001G",-4.05,40.79,"CS76872","IP-Fun-0","Spain",0.3983,22060,22.97916667
9544,"1001G",-5.33,39.4,"CS76894","IP-Gua-1","Spain",0.2997,16599,17.290625
9547,"1001G",2.62,41.67,"CS76930","IP-Hor-0","Spain",0.2982,16516,17.20416667
9548,"1001G",-5,40.4,"CS76939","IP-Hoy-0","Spain",0.2996,16594,17.28541667
9549,"1001G",-3.69,42.23,"CS76943","IP-Hum-2","Spain",0.3016,16704,17.4
9555,"1001G",-3.93,39.58,"CS77068","IP-Mar-1","Spain",0.325,18000,18.75
9557,"1001G",0.7,42.46,"CS77102","IP-Moa-0","Spain",0.3369,18659,19.43645833
9559,"1001G",-4.38,38.06,"CS77107","IP-Mon-5","Spain",0.328,18167,18.92395833
9560,"1001G",-6.24,38.19,"CS77109","IP-Mot-0","Spain",0.2996,16594,17.28541667
9562,"1001G",2,41.67,"CS77115","IP-Mur-0","Spain",0.2983,16522,17.21041667
9564,"1001G",-1.6,40.45,"CS77129","IP-Nog-17","Spain",0.3021,16732,17.42916667
9565,"1001G",-1.23,42.97,"CS77152","IP-Orb-10","Spain",0.294,16283,16.96145833
9574,"1001G",-2.7,38.6,"CS77209","IP-Rel-0","Spain",0.3016,16704,17.4
9577,"1001G",2.17,42.34,"CS77216","IP-Ria-0","Spain",0.2992,16571,17.26145833
9579,"1001G",-3.51,38.33,"CS77232","IP-San-10","Spain",0.3044,16859,17.56145833
9584,"1001G",-3.58,41.19,"CS77283","IP-Stp-0","Spain",0.2979,16499,17.18645833
9586,"1001G",-3.27,41.03,"CS77340","IP-Tam-0","Spain",0.2119,11736,12.225
9587,"1001G",-1.88,41.5,"CS77344","IP-Tdc-0","Spain",0.3433,19014,19.80625
9591,"1001G",-3.59,42.86,"CS78826","IP-Vad-0","Spain",0.3023,16743,17.440625
9594,"1001G",1.01,42.04,"CS78837","IP-Vdm-0","Spain",0.3052,16904,17.60833333
9595,"1001G",-5.5,40.89,"CS78838","IP-Vdt-0","Spain",0.2954,16361,17.04270833
9596,"1001G",-7.45,41.95,"CS78841","IP-Ver-5","Spain",0.3029,16776,17.475
9597,"1001G",-2.53,42.31,"CS78843","IP-Vig-1","Spain",0.3024,16749,17.446875
9598,"1001G",-6.51,41.88,"CS78844","IP-Vim-0","Spain",0.3005,16643,17.33645833
9600,"1001G",-6.04,39.85,"CS78848","IP-Vis-0","Spain",0.3017,16710,17.40625
9602,"1001G",-3.96,40.5,"CS78850","IP-Vpa-1","Spain",0.3198,17712,18.45
9606,"1001G",-7.45,31.48,"CS76649","Aitba-1","Morocco",0.2903,16078,16.74791667
9612,"1001G",51.94,53.04,"CS77033","Lesno-2","Russian_Federation",0.2992,16571,17.26145833
9619,"1001G",79.48,51.84,"CS76691","Basta-1","Russian_Federation",0.3009,16666,17.36041667
9625,"1001G",82.59,51.31,"CS76977","Kolyv-2","Russian_Federation",0.2984,16527,17.215625
9629,"1001G",82.18,51.35,"CS76957","K-oze-1","Russian_Federation",0.3027,16765,17.46354167
9632,"1001G",80.82,51.67,"CS77016","Lebja-2","Russian_Federation",0.3027,16765,17.46354167
9634,"1001G",81.31,54.13,"CS77073","Masl-1","Russian_Federation",0.2998,16605,17.296875
9637,"1001G",80.85,51.77,"CS77132","Noveg-2","Russian_Federation",0.3066,16981,17.68854167
9640,"1001G",80.06,51.87,"CS77202","Rakit-1","Russian_Federation",0.3065,16976,17.68333333
9643,"1001G",79.31,52.1,"CS77245","Sever-1","Russian_Federation",0.2981,16510,17.19791667
9649,"1001G",16.17,39.13,"CS76713","Bivio-1","Italy",0.301,16671,17.365625
9653,"1001G",16.13,38.44,"CS76878","Giffo-1","Italy",0.3007,16654,17.34791667
9657,"1001G",16.04,38.45,"CS77078","Melic-1","Italy",0.3026,16760,17.45833333
9659,"1001G",14.18,41.18,"CS77177","Pigna-1","Italy",0.3004,16638,17.33125
9697,"1001G",23.94,41.62,"CS76802","Dolen-1","Bulgaria",0.3037,16821,17.521875
9698,"1001G",23.85,41.57,"CS76882","Goced-1","Bulgaria",0.3077,17042,17.75208333
9699,"1001G",23.14,41.37,"CS76974","Kolar-1","Bulgaria",0.3098,17158,17.87291667
9713,"1001G",25.61,42.49,"CS77271","Stara-1","Bulgaria",0.3048,16882,17.58541667
9716,"1001G",24.98,41.54,"CS77030","Leska-1","Bulgaria",0.302,16726,17.42291667
9719,"1001G",25.69,41.83,"CS76983","Koren-1","Bulgaria",0.2998,16605,17.296875
9723,"1001G",23.67,41.42,"CS77252","Slavi-2","Bulgaria",0.3033,16798,17.49791667
9726,"1001G",22.04,37.07,"CS76853","Faneronemi-3","Greece",0.3002,16627,17.31979167
9736,"1001G",25.17,44.69,"CS77361","Teiu-2","Romania",0.3022,16738,17.43541667
9737,"1001G",22.62,45.95,"CS78815","Ulies-1","Romania",0.2988,16549,17.23854167
9739,"1001G",22.33,46.01,"CS77370","Toc-1","Romania",0.3033,16798,17.49791667
9741,"1001G",23.16,45.84,"CS77151","Orast-1","Romania",0.2999,16610,17.30208333
9743,"1001G",25,45.14,"CS76873","Furni-1","Romania",0.3031,16787,17.48645833
9748,"1001G",21.71,44.23,"CS78871","Zagub-1","Serbia",0.3017,16710,17.40625
9749,"1001G",22.29,43.54,"CS76971","Knjas-1","Serbia",0.3038,16826,17.52708333
9758,"1001G",88.4,47.75,"CS76433","Altai-5","China",0.3011,16677,17.371875
9759,"1001G",49.47,37.47,"CS76439","Anz-0","Iran,_Islamic_Republic_of",0.3053,16909,17.61354167
9761,"1001G",35.7,33.92,"CS76449","Bilk-1","Lebanon",0.301,16671,17.365625
9764,"1001G",35.84,34.1,"CS76581","Qar-8a","Lebanon",0.2398,13281,13.834375
9766,"1001G",74.16,42.26,"CS76629","Westkar-4","Kyrgyzstan",0.3028,16771,17.46979167
9769,"1001G",8.99,48.55,"CS76916","HE-1","Germany",0.2978,16494,17.18125
9774,"1001G",9.22,48.59,"CS76663","Alt-1","Germany",0.3112,17236,17.95416667
9775,"1001G",8.79,48.41,"CS76701","Berg-1","Germany",0.2994,16582,17.27291667
9779,"1001G",8.78,48.5,"CS76682","Bai-10","Germany",0.309,17114,17.82708333
9781,"1001G",9.11,48.52,"CS76990","Kus2-2","Germany",0.3082,17070,17.78125
9782,"1001G",9.09,48.53,"CS77057","Lu3-30","Germany",0.3002,16627,17.31979167
9784,"1001G",8.8,48.5,"CS76845","Erg2-6","Germany",0.3045,16865,17.56770833
9803,"1001G",8.76,48.42,"CS77113","Muh-2","Germany",0.3033,16798,17.49791667
9804,"1001G",8.87,48.45,"CS77139","Obe1-15","Germany",0.31,17170,17.88541667
9813,"1001G",8.77,48.4,"CS76706","BI-4","Germany",0.3329,18438,19.20625
9814,"1001G",8.79,48.42,"CS76855","Fell1-10","Germany",0.3095,17142,17.85625
9820,"1001G",-4.71,41,"CS76671","Are-0","Spain",0.3158,17491,18.21979167
9837,"1001G",-5.6,37.94,"CS76780","Con-0","Spain",0.30437,16858,17.56041667
9857,"1001G",-3.8,40.33,"CS77019","Leg-0","Spain",0.3089,17109,17.821875
9879,"1001G",-1.12,37.6,"CS77169","Per-0","Spain",0.3028,16771,17.46979167
9910,"1001G",3.52,50.68,"CS76725","BRI-2","France",0.3094,17136,17.85
9920,"1001G",4.32,48.54,"CS76796","DIR-9","France",0.3059,16942,17.64791667
9921,"1001G",4.41,48.57,"CS76867","FOR-23","France",0.3075,17031,17.740625
9925,"1001G",4.52,48.91,"CS77226","RUM-20","France",0.3031,16787,17.48645833
9933,"1001G",3.89,43.74,"CS78839","VED-10","France",0.3034,16804,17.50416667
9940,"80-pilot",-7.42,31.47,"CS76348","Toufl-1 / ice50","Morocco",0.3031,16787,17.48645833
9941,"1001G",-8.54,40.92,"CS76412","Fei-0","Portugal",0.2987,16544,17.23333333
9944,"1001G",-6.36,36.83,"CS76411","Don-0","Spain",0.301,16671,17.365625
9947,"1001G",-3.9,40.74,"CS76415","Ped-0","Spain",0.3021,16732,17.42916667
9965,"1001G",16.22,38.38,"CS76364","Mammo-2","Italy",0.2454,13592,14.15833333
9966,"1001G",15.65,40.28,"CS76361","Monte-1","Italy",0.1615,8945,9.317708333
9977,"80-pilot",10.82,46.63,"CS76349","Vezzano2-1 / ice226","Italy",0.1004,5561,5.792708333
9978,"1001G",10.817,46.6297,"CS76350","Vezzano2-2","Italy",0.066,3655,3.807291667
9985,"1001G",23.65,41.43,"CS76419","Slavi-1","Bulgaria",0.2487,13774,14.34791667
9992,"80-pilot",42.2239,38.3011,"CS76386","Dog-4","Turkey",0.3007,16654,17.34791667
10002,"1001G",9.04,48.53,"CS76405","TueWa1-2","Germany",0.2338,12949,13.48854167
10006,"1001G",34.3814,44.6419,"CS76395","Kastel-1","Ukraine",0.3075,17031,17.740625
10011,"1001G",45.3622,39.8692,"CS76394","Yeg-1","Armenia",0.0489,2708,2.820833333
10013,"1001G",48.6131,38.7406,"CS76388","Lerik1-3","Azerbaijan",0.1704,9438,9.83125
10014,"1001G",48.7992,38.6536,"CS76387","Xan-1","Azerbaijan",0.3026,16760,17.45833333
100001,"israel",35.797398,33.093931,NA,"Ziv-24208","Israel",0.1032,5716,5.954166667
100002,"israel",35.788213,33.176177,NA,"Her-","Israel",0.0611,3384,3.525
