"seedbankid","site","plot","date","comments"
"MLSB450120220729","45","01",2022-07-29,NA
"MLSB450220220729","45","02",2022-07-29,NA
"MLSB450320220729","45","03",2022-07-29,NA
"MLSB450420220729","45","04",2022-07-29,NA
"MLSB450520220729","45","05",2022-07-29,NA
"MLSB450620220729","45","06",2022-07-29,NA
"MLSB450720220729","45","07",2022-07-29,NA
"MLSB450820220729","45","08",2022-07-29,NA
"MLSB450920220729","45","09",2022-07-29,NA
"MLSB451020220729","45","10",2022-07-29,NA
"MLSB451120220729","45","11",2022-07-29,NA
"MLSB451220220729","45","12",2022-07-29,NA
"MLSB270120220821","27","01",2022-08-21,NA
"MLSB270220220821","27","02",2022-08-21,NA
"MLSB270320220821","27","03",2022-08-21,NA
"MLSB270420220821","27","04",2022-08-21,NA
"MLSB270520220821","27","05",2022-08-21,NA
"MLSB270620220821","27","06",2022-08-21,NA
"MLSB270720220821","27","07",2022-08-21,NA
"MLSB270820220821","27","08",2022-08-21,NA
"MLSB270920220821","27","09",2022-08-21,NA
"MLSB271020220821","27","10",2022-08-21,NA
"MLSB271120220821","27","11",2022-08-21,NA
"MLSB271220220821","27","12",2022-08-21,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB57NA20220630","57","NA",2022-06-30,NA
"MLSB460120220909","46","01",2022-09-09,NA
"MLSB460220220909","46","02",2022-09-09,NA
"MLSB460320220909","46","03",2022-09-09,NA
"MLSB460420220909","46","04",2022-09-09,NA
"MLSB460520220909","46","05",2022-09-09,NA
"MLSB460620220909","46","06",2022-09-09,NA
"MLSB460720220909","46","07",2022-09-09,NA
"MLSB460820220909","46","08",2022-09-09,NA
"MLSB460920220909","46","09",2022-09-09,NA
"MLSB461020220909","46","10",2022-09-09,NA
"MLSB461120220909","46","11",2022-09-09,NA
"MLSB461220220909","46","12",2022-09-09,NA
"MLSB420120220927","42","01",2022-09-27,NA
"MLSB420220220927","42","02",2022-09-27,NA
"MLSB420320220927","42","03",2022-09-27,NA
"MLSB420420220927","42","04",2022-09-27,NA
"MLSB420520220927","42","05",2022-09-27,NA
"MLSB420620220927","42","06",2022-09-27,NA
"MLSB420720220927","42","07",2022-09-27,NA
"MLSB420820220927","42","08",2022-09-27,NA
"MLSB420920220927","42","09",2022-09-27,NA
"MLSB421020220927","42","10",2022-09-27,NA
"MLSB421120220927","42","11",2022-09-27,NA
"MLSB421220220927","42","12",2022-09-27,NA
"MLSB550120220914","55","01",2022-09-14,NA
"MLSB550220220914","55","02",2022-09-14,NA
"MLSB550320220914","55","03",2022-09-14,NA
"MLSB550420220914","55","04",2022-09-14,NA
"MLSB550520220914","55","05",2022-09-14,NA
"MLSB550620220914","55","06",2022-09-14,NA
"MLSB550720220914","55","07",2022-09-14,NA
"MLSB550820220914","55","08",2022-09-14,NA
"MLSB550920220914","55","09",2022-09-14,NA
"MLSB551020220914","55","10",2022-09-14,NA
"MLSB551120220914","55","11",2022-09-14,NA
"MLSB551220220914","55","12",2022-09-14,NA
"MLSB270120210816","27","01",2021-08-16,NA
"MLSB270220210816","27","02",2021-08-16,NA
"MLSB270320210816","27","03",2021-08-16,NA
"MLSB270420210816","27","04",2021-08-16,NA
"MLSB270520210816","27","05",2021-08-16,NA
"MLSB270620210816","27","06",2021-08-16,NA
"MLSB270720210816","27","07",2021-08-16,NA
"MLSB270820210816","27","08",2021-08-16,NA
"MLSB270920210816","27","09",2021-08-16,NA
"MLSB271020210816","27","10",2021-08-16,NA
"MLSB271120210816","27","11",2021-08-16,NA
"MLSB271220210816","27","12",2021-08-16,NA
"MLSB550120210909","55","01",2021-09-09,NA
"MLSB550220210909","55","02",2021-09-09,NA
"MLSB550320210909","55","03",2021-09-09,NA
"MLSB550420210909","55","04",2021-09-09,NA
"MLSB550520210909","55","05",2021-09-09,NA
"MLSB550620210909","55","06",2021-09-09,NA
"MLSB550720210909","55","07",2021-09-09,NA
"MLSB550820210909","55","08",2021-09-09,NA
"MLSB550920210909","55","09",2021-09-09,NA
"MLSB551020210909","55","10",2021-09-09,NA
"MLSB551120210909","55","11",2021-09-09,NA
"MLSB551220210909","55","12",2021-09-09,NA
"MLSB450120211006","45","01",2021-10-06,NA
"MLSB450220211006","45","02",2021-10-06,NA
"MLSB450320211006","45","03",2021-10-06,NA
"MLSB450420211006","45","04",2021-10-06,NA
"MLSB450520211006","45","05",2021-10-06,NA
"MLSB450620211006","45","06",2021-10-06,NA
"MLSB450720211006","45","07",2021-10-06,NA
"MLSB450820211006","45","08",2021-10-06,NA
"MLSB450920211006","45","09",2021-10-06,NA
"MLSB451020211006","45","10",2021-10-06,NA
"MLSB451120211006","45","11",2021-10-06,NA
"MLSB451220211006","45","12",2021-10-06,NA
"MLSB570120210721","57","01",2021-07-21,NA
"MLSB570220210721","57","02",2021-07-21,NA
"MLSB570320210721","57","03",2021-07-21,NA
"MLSB570420210721","57","04",2021-07-21,NA
"MLSB570520210721","57","05",2021-07-21,NA
"MLSB570620210721","57","06",2021-07-21,NA
"MLSB570720210721","57","07",2021-07-21,NA
"MLSB570820210721","57","08",2021-07-21,NA
"MLSB570920210721","57","09",2021-07-21,NA
"MLSB571020210721","57","10",2021-07-21,NA
"MLSB571120210721","57","11",2021-07-21,NA
"MLSB571220210721","57","12",2021-07-21,NA
"MLSB460120210825","46","01",2021-08-25,NA
"MLSB460220210825","46","02",2021-08-25,NA
"MLSB460320210825","46","03",2021-08-25,NA
"MLSB460420210825","46","04",2021-08-25,NA
"MLSB460520210825","46","05",2021-08-25,NA
"MLSB460620210825","46","06",2021-08-25,NA
"MLSB460720210825","46","07",2021-08-25,NA
"MLSB460820210825","46","08",2021-08-25,NA
"MLSB460920210825","46","09",2021-08-25,NA
"MLSB461020210825","46","10",2021-08-25,NA
"MLSB461120210825","46","11",2021-08-25,NA
"MLSB461220210825","46","12",2021-08-25,NA
"MLSB010120200619","01","01",2020-06-19,NA
"MLSB010220200619","01","02",2020-06-19,NA
"MLSB010320200619","01","03",2020-06-19,NA
"MLSB010420200619","01","04",2020-06-19,NA
"MLSB010520200619","01","05",2020-06-19,NA
"MLSB010620200619","01","06",2020-06-19,NA
"MLSB010720200619","01","07",2020-06-19,NA
"MLSB010820200619","01","08",2020-06-19,NA
"MLSB010920200619","01","09",2020-06-19,NA
"MLSB011020200619","01","10",2020-06-19,NA
"MLSB011120200619","01","11",2020-06-19,NA
"MLSB011220200619","01","12",2020-06-19,NA
"MLSB060220200721","06","02",2020-07-21,NA
"MLSB060320200721","06","03",2020-07-21,NA
"MLSB060520200721","06","05",2020-07-21,NA
"MLSB060620200721","06","06",2020-07-21,NA
"MLSB060720200721","06","07",2020-07-21,NA
"MLSB060820200721","06","08",2020-07-21,NA
"MLSB060920200721","06","09",2020-07-21,NA
"MLSB061020200721","06","10",2020-07-21,NA
"MLSB061120200721","06","11",2020-07-21,NA
"MLSB061220200721","06","12",2020-07-21,NA
"MLSB270120200809","27","01",2020-08-09,NA
"MLSB270220200809","27","02",2020-08-09,NA
"MLSB270320200809","27","03",2020-08-09,NA
"MLSB270420200809","27","04",2020-08-09,NA
"MLSB270520200809","27","05",2020-08-09,NA
"MLSB270620200809","27","06",2020-08-09,NA
"MLSB270720200809","27","07",2020-08-09,NA
"MLSB270820200809","27","08",2020-08-09,NA
"MLSB270920200809","27","09",2020-08-09,NA
"MLSB271020200809","27","10",2020-08-09,NA
"MLSB271120200809","27","11",2020-08-09,NA
"MLSB271220200809","27","12",2020-08-09,NA
"MLSB280120200814","28","01",2020-08-14,NA
"MLSB280220200814","28","02",2020-08-14,NA
"MLSB280320200814","28","03",2020-08-14,NA
"MLSB280420200814","28","04",2020-08-14,NA
"MLSB280520200814","28","05",2020-08-14,NA
"MLSB280620200814","28","06",2020-08-14,NA
"MLSB280720200814","28","07",2020-08-14,NA
"MLSB280820200814","28","08",2020-08-14,NA
"MLSB280920200814","28","09",2020-08-14,NA
"MLSB281020200814","28","10",2020-08-14,NA
"MLSB281120200814","28","11",2020-08-14,NA
"MLSB281220200814","28","12",2020-08-14,NA
"MLSB281320200814","28","13",2020-08-14,NA
"MLSB281420200814","28","14",2020-08-14,NA
"MLSB281520200814","28","15",2020-08-14,NA
"MLSB281620200814","28","16",2020-08-14,NA
"MLSB281720200814","28","17",2020-08-14,NA
"MLSB281820200814","28","18",2020-08-14,NA
"MLSB430120200518","43","01",2020-05-18,NA
"MLSB430220200518","43","02",2020-05-18,NA
"MLSB430320200518","43","03",2020-05-18,NA
"MLSB430420200518","43","04",2020-05-18,NA
"MLSB430520200518","43","05",2020-05-18,NA
"MLSB430620200518","43","06",2020-05-18,NA
"MLSB430720200518","43","07",2020-05-18,NA
"MLSB430820200518","43","08",2020-05-18,NA
"MLSB430920200518","43","09",2020-05-18,NA
"MLSB431020200518","43","10",2020-05-18,NA
"MLSB431120200518","43","11",2020-05-18,NA
"MLSB431220200518","43","12",2020-05-18,NA
"MLSB460120200904","46","01",2020-09-04,NA
"MLSB460220200904","46","02",2020-09-04,NA
"MLSB460320200904","46","03",2020-09-04,NA
"MLSB460420200904","46","04",2020-09-04,NA
"MLSB460520200904","46","05",2020-09-04,NA
"MLSB460620200904","46","06",2020-09-04,NA
"MLSB460720200904","46","07",2020-09-04,NA
"MLSB460820200904","46","08",2020-09-04,NA
"MLSB460920200904","46","09",2020-09-04,NA
"MLSB461020200904","46","10",2020-09-04,NA
"MLSB461120200904","46","11",2020-09-04,NA
"MLSB461220200904","46","12",2020-09-04,NA
"MLSB550120200811","55","01",2020-08-11,NA
"MLSB550220200811","55","02",2020-08-11,NA
"MLSB550320200811","55","03",2020-08-11,NA
"MLSB550420200811","55","04",2020-08-11,NA
"MLSB550520200811","55","05",2020-08-11,NA
"MLSB550620200811","55","06",2020-08-11,NA
"MLSB550720200811","55","07",2020-08-11,NA
"MLSB550820200811","55","08",2020-08-11,NA
"MLSB550920200811","55","09",2020-08-11,NA
"MLSB551020200811","55","10",2020-08-11,NA
"MLSB551120200811","55","11",2020-08-11,NA
"MLSB551220200811","55","12",2020-08-11,NA
"MLSB450120200914","45","01",2020-09-14,NA
"MLSB450220200914","45","02",2020-09-14,NA
"MLSB450320200914","45","03",2020-09-14,NA
"MLSB450420200914","45","04",2020-09-14,NA
"MLSB450520200914","45","05",2020-09-14,NA
"MLSB450620200914","45","06",2020-09-14,NA
"MLSB450720200914","45","07",2020-09-14,NA
"MLSB450820200914","45","08",2020-09-14,NA
"MLSB450920200914","45","09",2020-09-14,NA
"MLSB451020200914","45","10",2020-09-14,NA
"MLSB451120200914","45","11",2020-09-14,NA
"MLSB451220200914","45","12",2020-09-14,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB57NA20200527","57","NA",2020-05-27,NA
"MLSB530120200924","53","01",2020-09-24,NA
"MLSB530220200924","53","02",2020-09-24,NA
"MLSB530320200924","53","03",2020-09-24,NA
"MLSB530420200924","53","04",2020-09-24,NA
"MLSB530520200924","53","05",2020-09-24,NA
"MLSB530620200924","53","06",2020-09-24,NA
"MLSB530720200924","53","07",2020-09-24,NA
"MLSB530820200924","53","08",2020-09-24,NA
"MLSB530920200924","53","09",2020-09-24,NA
"MLSB531020200924","53","10",2020-09-24,NA
"MLSB531120200924","53","11",2020-09-24,NA
"MLSB531220200924","53","12",2020-09-24,NA
"MLSB420120200918","42","01",2020-09-18,NA
"MLSB420220200918","42","02",2020-09-18,NA
"MLSB420320200918","42","03",2020-09-18,NA
"MLSB420420200918","42","04",2020-09-18,NA
"MLSB420520200918","42","05",2020-09-18,NA
"MLSB420620200918","42","06",2020-09-18,NA
"MLSB420720200918","42","07",2020-09-18,NA
"MLSB420820200918","42","08",2020-09-18,NA
"MLSB420920200918","42","09",2020-09-18,NA
"MLSB421020200918","42","10",2020-09-18,NA
"MLSB421120200918","42","11",2020-09-18,NA
"MLSB421220200918","42","12",2020-09-18,NA
"MLSB520120200403","52","01",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520220200403","52","02",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520320200403","52","03",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520420200403","52","04",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520520200403","52","05",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520620200403","52","06",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520720200403","52","07",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520820200403","52","08",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB520920200403","52","09",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB521020200403","52","10",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB521120200403","52","11",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB521220200403","52","12",2020-04-03,"I do not know the date of soil sampling any more, please check the sample labels"
"MLSB020120190904","02","01",2019-09-04,NA
"MLSB020320190904","02","03",2019-09-04,NA
"MLSB020420190904","02","04",2019-09-04,NA
"MLSB020520190904","02","05",2019-09-04,NA
"MLSB020620190904","02","06",2019-09-04,NA
"MLSB020720190904","02","07",2019-09-04,NA
"MLSB020820190904","02","08",2019-09-04,NA
"MLSB020920190904","02","09",2019-09-04,NA
"MLSB021020190904","02","10",2019-09-04,NA
"MLSB021120190904","02","11",2019-09-04,NA
"MLSB021220190904","02","12",2019-09-04,NA
"MLSB021320190904","02","13",2019-09-04,NA
"MLSB021420190904","02","14",2019-09-04,NA
"MLSB021520190904","02","15",2019-09-04,NA
"MLSB021620190904","02","16",2019-09-04,NA
"MLSB021720190904","02","17",2019-09-04,NA
"MLSB021820190904","02","18",2019-09-04,NA
"MLSB040120190619","04","01",2019-06-19,"Soil samples, second season."
"MLSB040220190619","04","02",2019-06-19,"Soil samples, second season."
"MLSB040320190619","04","03",2019-06-19,"Soil samples, second season."
"MLSB040420190619","04","04",2019-06-19,"Soil samples, second season."
"MLSB040520190619","04","05",2019-06-19,"Soil samples, second season."
"MLSB040620190619","04","06",2019-06-19,"Soil samples, second season."
"MLSB040720190619","04","07",2019-06-19,"Soil samples, second season."
"MLSB040820190619","04","08",2019-06-19,"Soil samples, second season."
"MLSB040920190619","04","09",2019-06-19,"Soil samples, second season."
"MLSB041020190619","04","10",2019-06-19,"Soil samples, second season."
"MLSB041120190619","04","11",2019-06-19,"Soil samples, second season."
"MLSB041220190619","04","12",2019-06-19,"Soil samples, second season."
"MLSB050120190618","05","01",2019-06-18,NA
"MLSB050220190618","05","02",2019-06-18,NA
"MLSB050320190618","05","03",2019-06-18,NA
"MLSB050420190618","05","04",2019-06-18,NA
"MLSB050520190618","05","05",2019-06-18,NA
"MLSB050620190618","05","06",2019-06-18,NA
"MLSB050720190618","05","07",2019-06-18,NA
"MLSB050820190618","05","08",2019-06-18,NA
"MLSB050920190618","05","09",2019-06-18,NA
"MLSB051020190618","05","10",2019-06-18,NA
"MLSB051120190618","05","11",2019-06-18,NA
"MLSB051220190618","05","12",2019-06-18,NA
"MLSB060120190708","06","01",2019-07-08,"Tray lost due to unknown reasons, reported by email"
"MLSB060220190708","06","02",2019-07-08,NA
"MLSB060320190708","06","03",2019-07-08,NA
"MLSB060420190708","06","04",2019-07-08,"Tray lost due to unknown reasons, reported by email"
"MLSB060520190708","06","05",2019-07-08,NA
"MLSB060620190708","06","06",2019-07-08,NA
"MLSB060720190708","06","07",2019-07-08,NA
"MLSB060820190708","06","08",2019-07-08,NA
"MLSB060920190708","06","09",2019-07-08,NA
"MLSB061020190708","06","10",2019-07-08,NA
"MLSB061120190708","06","11",2019-07-08,NA
"MLSB061220190708","06","12",2019-07-08,NA
"MLSB090120190701","09","01",2019-07-01,NA
"MLSB090220190701","09","02",2019-07-01,NA
"MLSB090320190701","09","03",2019-07-01,NA
"MLSB090420190701","09","04",2019-07-01,NA
"MLSB090520190701","09","05",2019-07-01,NA
"MLSB090620190701","09","06",2019-07-01,NA
"MLSB090720190701","09","07",2019-07-01,NA
"MLSB090820190701","09","08",2019-07-01,NA
"MLSB090920190701","09","09",2019-07-01,NA
"MLSB091020190701","09","10",2019-07-01,NA
"MLSB091120190701","09","11",2019-07-01,NA
"MLSB091220190701","09","12",2019-07-01,NA
"MLSB250120190920","25","01",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250220190920","25","02",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250320190920","25","03",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250420190920","25","04",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250520190920","25","05",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250620190920","25","06",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250720190920","25","07",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250820190920","25","08",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB250920190920","25","09",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB251020190920","25","10",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB251120190920","25","11",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB251220190920","25","12",2019-09-20,"Tray had some new seedlings emerging, some with few flowers or close to flowering"
"MLSB270120190820","27","01",2019-08-20,NA
"MLSB270220190820","27","02",2019-08-20,NA
"MLSB270320190820","27","03",2019-08-20,NA
"MLSB270420190820","27","04",2019-08-20,NA
"MLSB270520190820","27","05",2019-08-20,NA
"MLSB270620190820","27","06",2019-08-20,NA
"MLSB270720190820","27","07",2019-08-20,NA
"MLSB270820190820","27","08",2019-08-20,NA
"MLSB270920190820","27","09",2019-08-20,NA
"MLSB271020190820","27","10",2019-08-20,NA
"MLSB271120190820","27","11",2019-08-20,NA
"MLSB271220190820","27","12",2019-08-20,NA
"MLSB280120190712","28","01",2019-07-12,"Soil samples, second season."
"MLSB280220190712","28","02",2019-07-12,"Soil samples, second season."
"MLSB280320190712","28","03",2019-07-12,"Soil samples, second season."
"MLSB280420190712","28","04",2019-07-12,"Soil samples, second season."
"MLSB280520190712","28","05",2019-07-12,"Soil samples, second season."
"MLSB280620190712","28","06",2019-07-12,"Soil samples, second season."
"MLSB280720190712","28","07",2019-07-12,"Soil samples, second season."
"MLSB280820190712","28","08",2019-07-12,"Soil samples, second season."
"MLSB280920190712","28","09",2019-07-12,"Soil samples, second season."
"MLSB281020190712","28","10",2019-07-12,"Soil samples, second season."
"MLSB281120190712","28","11",2019-07-12,"Soil samples, second season."
"MLSB281220190712","28","12",2019-07-12,"Soil samples, second season."
"MLSB281320190712","28","13",2019-07-12,"Soil samples, second season."
"MLSB281420190712","28","14",2019-07-12,"Soil samples, second season."
"MLSB281520190712","28","15",2019-07-12,"Soil samples, second season."
"MLSB281620190712","28","16",2019-07-12,"Soil samples, second season."
"MLSB281720190712","28","17",2019-07-12,"Soil samples, second season."
